"eje","subtema","categoria","sexo","grupo_edad","id","indicador","unidad","cve_area","lugar","url"
"Empleo y ocupación","Condición de actividad","Económicamente activa",NA,NA,"6207019030","Porcentaje de población de 12 años y más económicamente activa","Porcentaje","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019030/es/19007/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","No económicamente activa",NA,NA,"6207019035","Porcentaje de la población de 12 años y más No Económicamente Activa","Porcentaje","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019035/es/19007/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Mujeres","Mujeres",NA,"6207019040","Porcentaje de la población femenina de 12 años y más económicamente activa","Porcentaje","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019040/es/19007/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Hombres","Hombres",NA,"6207019043","Porcentaje de la población masculina de 12 años y más económicamente activa","Porcentaje","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019043/es/19007/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Se dedica a los quehaceres del hogar",NA,NA,"6207019064","Porcentaje de la población de 12 años y más no económicamente activa que se dedica a los quehaceres del hogar","Porcentaje","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019064/es/19007/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Limitación física o mental para trabajar",NA,NA,"6207019070","Porcentaje de la población de 12 años y más no económicamente activa con alguna limitación física o mental que les impide trabajar","Porcentaje","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019070/es/19007/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","Económicamente activa",NA,NA,"6207019030","Porcentaje de población de 12 años y más económicamente activa","Porcentaje","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019030/es/19014/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","No económicamente activa",NA,NA,"6207019035","Porcentaje de la población de 12 años y más No Económicamente Activa","Porcentaje","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019035/es/19014/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Mujeres","Mujeres",NA,"6207019040","Porcentaje de la población femenina de 12 años y más económicamente activa","Porcentaje","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019040/es/19014/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Hombres","Hombres",NA,"6207019043","Porcentaje de la población masculina de 12 años y más económicamente activa","Porcentaje","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019043/es/19014/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Se dedica a los quehaceres del hogar",NA,NA,"6207019064","Porcentaje de la población de 12 años y más no económicamente activa que se dedica a los quehaceres del hogar","Porcentaje","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019064/es/19014/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Limitación física o mental para trabajar",NA,NA,"6207019070","Porcentaje de la población de 12 años y más no económicamente activa con alguna limitación física o mental que les impide trabajar","Porcentaje","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019070/es/19014/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","Económicamente activa",NA,NA,"6207019030","Porcentaje de población de 12 años y más económicamente activa","Porcentaje","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019030/es/19024/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","No económicamente activa",NA,NA,"6207019035","Porcentaje de la población de 12 años y más No Económicamente Activa","Porcentaje","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019035/es/19024/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Mujeres","Mujeres",NA,"6207019040","Porcentaje de la población femenina de 12 años y más económicamente activa","Porcentaje","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019040/es/19024/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Hombres","Hombres",NA,"6207019043","Porcentaje de la población masculina de 12 años y más económicamente activa","Porcentaje","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019043/es/19024/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Se dedica a los quehaceres del hogar",NA,NA,"6207019064","Porcentaje de la población de 12 años y más no económicamente activa que se dedica a los quehaceres del hogar","Porcentaje","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019064/es/19024/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Limitación física o mental para trabajar",NA,NA,"6207019070","Porcentaje de la población de 12 años y más no económicamente activa con alguna limitación física o mental que les impide trabajar","Porcentaje","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019070/es/19024/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","Económicamente activa",NA,NA,"6207019030","Porcentaje de población de 12 años y más económicamente activa","Porcentaje","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019030/es/19036/false/BISE/2.0/"
"Empleo y ocupación","Condición de actividad","No económicamente activa",NA,NA,"6207019035","Porcentaje de la población de 12 años y más No Económicamente Activa","Porcentaje","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019035/es/19036/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Mujeres","Mujeres",NA,"6207019040","Porcentaje de la población femenina de 12 años y más económicamente activa","Porcentaje","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019040/es/19036/false/BISE/2.0/"
"Empleo y ocupación","Participación por sexo","Hombres","Hombres",NA,"6207019043","Porcentaje de la población masculina de 12 años y más económicamente activa","Porcentaje","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019043/es/19036/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Se dedica a los quehaceres del hogar",NA,NA,"6207019064","Porcentaje de la población de 12 años y más no económicamente activa que se dedica a los quehaceres del hogar","Porcentaje","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019064/es/19036/false/BISE/2.0/"
"Empleo y ocupación","Población no económicamente activa","Limitación física o mental para trabajar",NA,NA,"6207019070","Porcentaje de la población de 12 años y más no económicamente activa con alguna limitación física o mental que les impide trabajar","Porcentaje","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/6207019070/es/19036/false/BISE/2.0/"
"Población","Población total","Total","Total",NA,"1002000001","Población total","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000001/es/19007/false/BISE/2.0/"
"Población","Población total","Total","Total",NA,"1002000001","Población total","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000001/es/19014/false/BISE/2.0/"
"Población","Población total","Total","Total",NA,"1002000001","Población total","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000001/es/19024/false/BISE/2.0/"
"Población","Población total","Total","Total",NA,"1002000001","Población total","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000001/es/19036/false/BISE/2.0/"
"Población","Población total","Hombres","Hombres",NA,"1002000002","Población total hombres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000002/es/19007/false/BISE/2.0/"
"Población","Población total","Hombres","Hombres",NA,"1002000002","Población total hombres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000002/es/19014/false/BISE/2.0/"
