"eje","subtema","categoria","sexo","grupo_edad","id","indicador","unidad","cve_area","lugar","periodo","anio","trimestre","fecha","valor"
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","1995",1995,NA,1995-01-01,95.8
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","2000",2000,NA,2000-01-01,96.5
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","2005",2005,NA,2005-01-01,97.5
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","2010",2010,NA,2010-01-01,98.43452
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","2015",2015,NA,2015-01-01,98.207687
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","2020",2020,NA,2020-01-01,98.6924169235309
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","00","Nacional","2025",2025,NA,2025-01-01,98.9176314632398
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","1995",1995,NA,1995-01-01,98.7
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","2000",2000,NA,2000-01-01,98.9
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","2005",2005,NA,2005-01-01,99.1
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","2010",2010,NA,2010-01-01,99.55324
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","2015",2015,NA,2015-01-01,98.594721
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","2020",2020,NA,2020-01-01,98.7955585709864
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19","Nuevo León","2025",2025,NA,2025-01-01,98.994721773861
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","1995",1995,NA,1995-01-01,96.1
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","2000",2000,NA,2000-01-01,95.6
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","2005",2005,NA,2005-01-01,97.1
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","2010",2010,NA,2010-01-01,98.22931
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","2015",2015,NA,2015-01-01,97.73964
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","2020",2020,NA,2020-01-01,98.8470066518847
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19007","Aramberri","2025",2025,NA,2025-01-01,99.0948070509766
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","1995",1995,NA,1995-01-01,94
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","2000",2000,NA,2000-01-01,95.5
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","2005",2005,NA,2005-01-01,97.5
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","2010",2010,NA,2010-01-01,98.67849
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","2015",2015,NA,2015-01-01,97.289504
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","2020",2020,NA,2020-01-01,98.3130434782609
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19014","Doctor Arroyo","2025",2025,NA,2025-01-01,98.8692688971499
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","1995",1995,NA,1995-01-01,96
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","2000",2000,NA,2000-01-01,96.2
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","2005",2005,NA,2005-01-01,96.8
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","2010",2010,NA,2010-01-01,99.03568
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","2015",2015,NA,2015-01-01,98.554913
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","2020",2020,NA,2020-01-01,98.8593155893536
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19024","General Zaragoza","2025",2025,NA,2025-01-01,98.80174291939
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","1995",1995,NA,1995-01-01,93
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","2000",2000,NA,2000-01-01,94.9
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","2005",2005,NA,2005-01-01,96.2
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","2010",2010,NA,2010-01-01,98.56
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","2015",2015,NA,2015-01-01,97.565217
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","2020",2020,NA,2020-01-01,99.1836734693878
"Educación","Educación","Tasa de alfabetización (15 a 24 años)",NA,NA,"1002000050","Tasa de alfabetización de las personas de 15 a 24 años","Tasa","19036","Mier y Noriega","2025",2025,NA,2025-01-01,99.4304312449145
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","00","Nacional","2000",2000,NA,2000-01-01,27030706
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","00","Nacional","2005",2005,NA,2005-01-01,28588713
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","00","Nacional","2010",2010,NA,2010-01-01,30482938
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","00","Nacional","2020",2020,NA,2020-01-01,31688007
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19","Nuevo León","2000",2000,NA,2000-01-01,992104
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19","Nuevo León","2005",2005,NA,2005-01-01,1064687
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19","Nuevo León","2010",2010,NA,2010-01-01,1175287
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19","Nuevo León","2020",2020,NA,2020-01-01,1385926
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19007","Aramberri","2000",2000,NA,2000-01-01,3581
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19007","Aramberri","2005",2005,NA,2005-01-01,3594
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19007","Aramberri","2010",2010,NA,2010-01-01,4078
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19007","Aramberri","2020",2020,NA,2020-01-01,3853
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19014","Doctor Arroyo","2000",2000,NA,2000-01-01,8889
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19014","Doctor Arroyo","2005",2005,NA,2005-01-01,8145
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19014","Doctor Arroyo","2010",2010,NA,2010-01-01,9037
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19014","Doctor Arroyo","2020",2020,NA,2020-01-01,9511
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19024","General Zaragoza","2000",2000,NA,2000-01-01,1501
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19024","General Zaragoza","2005",2005,NA,2005-01-01,1610
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19024","General Zaragoza","2010",2010,NA,2010-01-01,1754
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19024","General Zaragoza","2020",2020,NA,2020-01-01,1706
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19036","Mier y Noriega","2000",2000,NA,2000-01-01,1934
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19036","Mier y Noriega","2005",2005,NA,2005-01-01,1663
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19036","Mier y Noriega","2010",2010,NA,2010-01-01,1849
"Educación","Educación","Asistencia escolar (5 años y más)",NA,NA,"1005000012","Población de 5 años y más que asiste a la escuela","Personas","19036","Mier y Noriega","2020",2020,NA,2020-01-01,1981
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","00","Nacional","2000",2000,NA,2000-01-01,7.5
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","00","Nacional","2005",2005,NA,2005-01-01,8.1
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","00","Nacional","2010",2010,NA,2010-01-01,8.63
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","00","Nacional","2015",2015,NA,2015-01-01,9.16184342150625
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","00","Nacional","2020",2020,NA,2020-01-01,9.73805046766345
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","00","Nacional","2025",2025,NA,2025-01-01,10.2649995633386
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19","Nuevo León","2000",2000,NA,2000-01-01,8.8
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19","Nuevo León","2005",2005,NA,2005-01-01,9.5
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19","Nuevo León","2010",2010,NA,2010-01-01,9.81
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19","Nuevo León","2015",2015,NA,2015-01-01,10.2749558573754
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19","Nuevo León","2020",2020,NA,2020-01-01,10.7409594523138
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19","Nuevo León","2025",2025,NA,2025-01-01,11.2815899219546
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19007","Aramberri","2000",2000,NA,2000-01-01,5.3
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19007","Aramberri","2005",2005,NA,2005-01-01,5.8
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19007","Aramberri","2010",2010,NA,2010-01-01,6.31
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19007","Aramberri","2015",2015,NA,2015-01-01,6.815175
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19007","Aramberri","2020",2020,NA,2020-01-01,7.52233273056058
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19007","Aramberri","2025",2025,NA,2025-01-01,8.03993102822397
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19014","Doctor Arroyo","2000",2000,NA,2000-01-01,5.2
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19014","Doctor Arroyo","2005",2005,NA,2005-01-01,5.7
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19014","Doctor Arroyo","2010",2010,NA,2010-01-01,6.13
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19014","Doctor Arroyo","2015",2015,NA,2015-01-01,6.8253376
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19014","Doctor Arroyo","2020",2020,NA,2020-01-01,7.45275762261607
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19014","Doctor Arroyo","2025",2025,NA,2025-01-01,8.04233700254022
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19024","General Zaragoza","2000",2000,NA,2000-01-01,5.3
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19024","General Zaragoza","2005",2005,NA,2005-01-01,5.8
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19024","General Zaragoza","2010",2010,NA,2010-01-01,6.48
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19024","General Zaragoza","2015",2015,NA,2015-01-01,7.1014742
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19024","General Zaragoza","2020",2020,NA,2020-01-01,7.96330690826727
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19024","General Zaragoza","2025",2025,NA,2025-01-01,8.27523353839143
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19036","Mier y Noriega","2000",2000,NA,2000-01-01,4.4
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19036","Mier y Noriega","2005",2005,NA,2005-01-01,5
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19036","Mier y Noriega","2010",2010,NA,2010-01-01,5.3
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19036","Mier y Noriega","2015",2015,NA,2015-01-01,5.7276843
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19036","Mier y Noriega","2020",2020,NA,2020-01-01,6.59073132577239
"Educación","Educación","Grado promedio de escolaridad",NA,NA,"1005000038","Grado promedio de escolaridad de la población de 15 y más años","Años de escolaridad","19036","Mier y Noriega","2025",2025,NA,2025-01-01,7.17135050741608
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","00","Nacional","2010",2010,NA,2010-01-01,19.3
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","00","Nacional","2015",2015,NA,2015-01-01,21.669587
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","00","Nacional","2020",2020,NA,2020-01-01,23.957896673986
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","00","Nacional","2025",2025,NA,2025-01-01,25.839794881322
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19","Nuevo León","2015",2015,NA,2015-01-01,22.838405
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19","Nuevo León","2020",2020,NA,2020-01-01,25.4757162255049
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19","Nuevo León","2025",2025,NA,2025-01-01,26.9235872997618
